Day,Month,Hour,League_Rank,Total_teams,Games_played,Points,Max_points,Min_points,Won,Draw,Lost,Goals_Scored,Goals_Rec,Win_Perc,Draw_Perc,Status,Weekday_Fri,Weekday_Mon,Weekday_Sat,Weekday_Sun,Weekday_Tue,Weekday_Wed,Goals
21,9,19,16,20,7,6,21,0,2,0,5,7,11,46,9,1,1,0,0,0,0,0,0
14,9,19,20,20,6,0,18,0,0,0,6,0,10,31,16,1,1,0,0,0,0,0,0
28,9,19,20,20,8,3,21,3,1,0,7,1,11,26,17,1,1,0,0,0,0,0,0
14,9,19,7,20,6,10,18,0,3,1,2,6,5,22,7,1,1,0,0,0,0,0,4
25,1,20,2,20,21,40,53,14,12,4,5,34,21,55,20,0,1,0,0,0,0,0,2
11,1,20,9,20,19,26,47,11,6,8,5,15,18,33,52,0,1,0,0,0,0,0,1
19,1,17,20,20,20,14,50,14,3,5,12,16,36,8,42,0,0,0,1,0,0,0,0
13,1,21,19,20,18,13,50,11,3,4,11,16,29,22,29,0,0,0,0,1,0,0,1
20,1,17,9,20,19,28,53,14,8,4,7,32,29,48,20,0,0,0,0,1,0,0,1
20,1,21,4,20,20,34,53,14,9,7,4,33,24,61,30,0,0,0,0,1,0,0,2
16,1,19,8,20,19,29,50,11,8,5,6,14,17,18,25,0,0,0,0,0,0,1,1
12,1,20,5,20,18,30,47,11,8,6,4,28,22,55,27,0,0,0,1,0,0,0,1
20,1,19,18,20,19,17,53,14,4,5,10,17,32,27,20,0,0,0,0,1,0,0,0
16,1,19,3,20,19,33,50,11,9,6,4,31,22,55,30,0,0,0,0,0,0,1,2
11,1,19,2,20,19,34,47,11,10,4,5,29,19,55,18,0,1,0,0,0,0,0,3
12,1,20,13,20,17,22,47,11,5,7,5,20,20,29,51,0,0,0,1,0,0,0,0
16,1,21,9,20,18,28,50,11,8,4,6,31,27,52,19,0,0,0,0,0,0,1,1
8,1,19,4,20,17,30,47,11,8,6,3,25,13,48,41,0,0,0,0,0,1,0,0
20,1,17,14,20,20,23,53,14,6,5,9,26,27,25,42,0,0,0,0,1,0,0,0
19,1,20,6,20,20,30,50,14,8,6,6,15,18,42,37,0,0,0,1,0,0,0,1
15,1,19,13,20,18,22,50,11,5,7,6,20,21,33,46,0,0,0,0,0,1,0,2
26,1,20,12,20,21,28,53,14,6,10,5,17,20,30,49,0,0,0,1,0,0,0,1
21,1,20,2,20,20,39,44,13,11,6,3,36,19,55,30,0,0,1,0,0,0,0,1
18,1,20,6,20,20,32,44,13,8,8,4,24,16,33,52,0,1,0,0,0,0,0,2
18,1,20,15,20,20,22,44,13,6,4,10,17,32,37,25,0,1,0,0,0,0,0,1
26,1,15,17,20,22,21,45,16,6,3,13,15,27,30,13,0,0,0,1,0,0,0,0
25,1,20,11,20,21,29,44,13,8,5,8,27,18,33,26,0,1,0,0,0,0,0,0
18,1,20,13,20,20,24,44,13,6,6,8,21,26,25,13,0,1,0,0,0,0,0,0
12,1,15,9,20,19,29,44,13,9,2,8,26,19,61,13,0,0,0,1,0,0,0,1
11,1,20,5,20,19,32,41,13,9,5,5,21,16,37,49,0,1,0,0,0,0,0,2
19,1,14,20,20,19,13,44,13,3,4,12,11,26,13,26,0,0,0,1,0,0,0,1
18,1,20,12,20,20,26,44,13,8,2,10,25,30,55,13,0,1,0,0,0,0,0,0
11,1,20,16,20,19,20,41,13,6,2,11,15,25,19,33,0,1,0,0,0,0,0,0
11,1,20,12,20,19,23,41,13,6,5,8,20,18,30,25,0,1,0,0,0,0,0,4
26,1,15,9,20,22,33,45,16,9,6,7,24,21,58,6,0,0,0,1,0,0,0,0
11,1,20,11,18,17,19,35,9,5,4,8,17,17,31,31,0,1,0,0,0,0,0,0
28,10,20,1,20,10,30,30,7,10,0,0,37,6,95,15,0,0,0,0,1,0,0,2
27,10,18,12,20,10,11,30,6,2,5,3,10,13,11,40,0,0,0,1,0,0,0,0
21,10,19,4,20,9,16,30,6,5,1,3,21,16,51,42,0,0,0,0,1,0,0,1
28,10,16,17,20,10,11,30,7,3,2,5,7,14,33,44,0,0,0,0,1,0,0,1
27,10,15,5,20,10,17,30,6,5,2,3,16,12,80,0,0,0,0,1,0,0,0,2
21,10,13,7,20,9,14,30,5,4,2,3,13,11,49,25,0,0,0,0,1,0,0,0
27,10,18,3,20,10,19,30,6,5,4,1,14,7,26,59,0,0,0,1,0,0,0,3
20,10,18,20,20,9,5,27,5,1,2,6,6,18,20,40,0,0,0,1,0,0,0,0
20,10,18,8,20,9,13,27,5,3,4,2,10,12,17,42,0,0,0,1,0,0,0,0
1,10,18,16,20,8,7,21,4,2,1,5,7,11,66,0,0,0,1,0,0,0,0,0
