Day,Month,Hour,League_Rank,Total_teams,Games_played,Points,Max_points,Min_points,Won,Draw,Lost,Goals_Scored,Goals_Rec,Win_Perc,Draw_Perc,Status,Weekday_Fri,Weekday_Mon,Weekday_Sat,Weekday_Sun,Weekday_Thu,Weekday_Tue,Weekday_Wed,Goals
27,10,13,8,16,12,16,30,9,4,4,4,13,14,39,31,0,0,0,1,0,0,0,0,0
27,10,8,8,10,1,1,3,0,0,1,0,1,1,82,0,0,0,0,1,0,0,0,0,0
27,10,22,1,20,31,63,63,17,18,9,4,47,19,49,30,0,0,0,1,0,0,0,0,1
27,10,14,15,24,14,18,26,9,4,6,4,23,19,30,55,0,0,0,1,0,0,0,0,0
27,10,14,21,24,14,13,26,9,3,4,7,10,20,13,49,0,0,0,1,0,0,0,0,1
27,10,14,11,12,9,4,25,3,1,1,7,5,19,25,13,0,0,0,1,0,0,0,0,0
27,10,14,9,12,9,6,25,3,2,0,7,7,20,20,11,0,0,0,1,0,0,0,0,1
26,10,16,14,14,12,4,29,4,0,4,8,7,22,0,27,0,1,0,0,0,0,0,0,0
26,10,14,12,14,12,11,29,4,3,2,7,14,23,18,27,0,1,0,0,0,0,0,0,2
26,10,17,7,16,27,43,59,15,12,7,8,45,31,47,8,0,1,0,0,0,0,0,0,2
26,10,18,16,24,14,18,26,9,4,6,4,22,22,35,35,0,1,0,0,0,0,0,0,0
26,10,18,13,20,11,12,26,6,4,0,7,12,18,31,47,0,1,0,0,0,0,0,0,2
26,10,18,5,20,12,22,28,5,7,1,4,18,14,11,22,0,1,0,0,0,0,0,0,4
24,10,15,6,8,27,23,64,19,6,5,16,25,52,37,18,0,0,0,0,0,0,0,1,1
24,10,8,12,18,26,34,47,27,9,7,10,37,33,35,35,0,0,0,0,0,0,0,1,0
24,10,19,12,24,13,19,26,9,4,7,2,18,15,47,47,0,0,0,0,0,0,0,1,3
23,10,0,19,26,7,8,20,4,2,2,3,9,12,27,37,0,0,0,0,0,0,1,0,1
23,10,18,19,24,13,12,25,9,3,3,7,18,21,18,37,0,0,0,0,0,0,1,0,1
22,10,22,12,26,8,12,20,4,3,3,2,7,7,0,27,0,0,1,0,0,0,0,0,1
22,10,23,18,20,15,10,32,8,2,4,9,8,19,30,25,0,0,1,0,0,0,0,0,0
22,10,16,15,16,11,9,23,7,1,6,4,11,17,51,34,0,0,1,0,0,0,0,0,0
21,10,9,6,12,29,36,71,28,11,9,9,48,42,33,33,0,0,0,0,1,0,0,0,1
21,10,15,2,16,11,27,28,7,9,0,2,27,7,73,15,0,0,0,0,1,0,0,0,1
21,10,14,11,12,11,9,31,7,2,3,6,9,15,9,37,0,0,0,0,1,0,0,0,0
21,10,9,3,12,29,46,71,28,13,7,9,31,28,66,11,0,0,0,0,1,0,0,0,0
21,10,8,8,10,0,0,3,0,0,0,0,0,0,37,0,0,0,0,0,1,0,0,0,1
21,10,21,6,23,32,53,67,20,16,5,11,47,34,49,22,0,0,0,0,1,0,0,0,3
21,10,15,7,10,11,11,27,2,2,5,4,13,18,37,37,0,0,0,0,1,0,0,0,0
21,10,14,16,18,9,7,27,4,2,1,6,6,18,85,13,0,0,0,0,1,0,0,0,1
21,10,13,13,19,7,9,18,2,2,3,2,6,7,33,33,0,0,0,0,1,0,0,0,1
21,10,19,11,23,32,48,66,20,13,9,10,39,41,33,38,0,0,0,0,1,0,0,0,1
21,10,19,7,23,32,53,66,20,15,8,9,55,41,37,26,0,0,0,0,1,0,0,0,1
21,10,19,2,23,32,65,66,20,20,5,7,60,33,79,11,0,0,0,0,1,0,0,0,1
21,10,19,6,19,6,11,18,2,3,2,1,10,6,0,55,0,0,0,0,1,0,0,0,2
21,10,18,19,22,10,9,22,6,1,6,3,7,11,37,44,0,0,0,0,1,0,0,0,1
21,10,11,3,18,9,17,20,5,4,5,0,14,7,61,25,0,0,0,0,1,0,0,0,0
20,10,14,18,24,12,14,25,8,4,2,6,9,19,26,34,0,0,0,1,0,0,0,0,2
20,10,17,4,10,10,15,27,9,4,3,3,21,16,61,25,0,0,0,1,0,0,0,0,2
20,10,16,5,18,8,12,24,3,3,3,2,14,9,44,33,0,0,0,1,0,0,0,0,0
20,10,13,9,19,8,10,18,2,2,4,2,13,12,46,27,0,0,0,1,0,0,0,0,2
20,10,14,3,24,12,24,25,8,7,3,2,31,17,69,41,0,0,0,1,0,0,0,0,0
20,10,14,13,24,12,16,25,8,4,4,4,16,14,31,47,0,0,0,1,0,0,0,0,1
20,10,11,2,16,25,50,58,14,15,5,5,48,28,47,31,0,0,0,1,0,0,0,0,1
