Day,Month,Hour,League_Rank,Total_teams,Games_played,Points,Max_points,Min_points,Won,Draw,Lost,Goals_Scored,Goals_Rec,Win_Perc,Draw_Perc,Status,Weekday_Fri,Weekday_Mon,Weekday_Sat,Weekday_Sun,Weekday_Thu,Weekday_Tue,Weekday_Wed,Goals
6,5,11,12,24,46,60,99,37,17,9,20,57,60,11,45,1,0,0,0,1,0,0,0,2
26,7,1,16,18,1,0,6,0,0,0,1,0,1,93,6,1,0,0,0,0,1,0,0,1
11,8,12,14,20,0,0,3,0,0,0,0,0,0,25,30,1,0,0,1,0,0,0,0,1
26,8,16,15,20,2,1,9,0,0,1,1,1,2,25,30,1,0,0,0,1,0,0,0,1
27,8,20,9,20,2,3,9,0,1,0,1,4,4,75,11,1,0,1,0,0,0,0,0,0
12,8,13,11,20,0,0,3,0,0,0,0,0,0,97,6,1,0,0,0,1,0,0,0,4
20,8,20,8,20,1,3,6,0,1,0,0,2,0,30,25,1,0,1,0,0,0,0,0,0
18,8,15,20,20,1,0,3,0,0,0,1,0,4,42,13,1,0,0,1,0,0,0,0,1
18,8,15,9,20,1,1,3,0,0,1,0,2,2,37,37,1,0,0,1,0,0,0,0,2
25,8,15,17,20,2,0,6,0,0,0,2,2,5,68,30,1,0,0,1,0,0,0,0,3
11,8,15,17,20,0,0,3,0,0,0,0,0,0,42,18,1,0,0,1,0,0,0,0,2
25,8,15,20,20,2,0,6,0,0,0,2,1,9,44,16,1,0,0,1,0,0,0,0,0
18,8,15,2,24,2,6,7,0,2,0,0,7,2,55,18,1,0,0,1,0,0,0,0,2
25,8,15,13,20,2,1,6,0,0,1,1,1,2,25,30,1,0,0,1,0,0,0,0,1
21,8,19,9,24,4,6,10,0,2,0,2,6,7,37,12,1,0,0,0,0,0,1,0,2
6,8,19,17,24,0,0,3,0,0,0,0,0,0,30,15,1,0,1,0,0,0,0,0,1
21,8,19,24,24,4,0,10,0,0,0,4,2,13,35,35,1,0,0,0,0,0,1,0,0
31,8,19,1,24,5,13,13,2,4,1,0,14,4,19,17,1,1,0,0,0,0,0,0,0
22,8,20,6,24,4,8,10,0,2,2,0,5,3,15,30,1,0,0,0,0,0,0,1,1
22,8,19,16,24,4,4,10,0,1,1,2,5,6,58,9,1,0,0,0,0,0,0,1,2
18,8,15,14,24,2,2,7,0,0,2,0,3,3,40,35,1,0,0,1,0,0,0,0,0
17,8,19,18,24,2,1,6,0,0,1,1,2,3,22,42,1,1,0,0,0,0,0,0,0
4,8,15,3,24,0,0,3,0,0,0,0,0,0,25,16,1,0,0,1,0,0,0,0,2
25,8,15,15,24,4,4,13,0,1,1,2,8,8,30,15,1,0,0,1,0,0,0,0,0
25,8,15,11,24,4,6,13,0,2,0,2,6,7,50,30,1,0,0,1,0,0,0,0,2
19,8,15,11,24,2,4,10,0,1,1,0,6,2,25,35,1,0,0,0,1,0,0,0,2
18,8,15,15,24,2,2,7,0,0,2,0,2,2,68,12,1,0,0,1,0,0,0,0,2
18,8,15,24,24,2,0,7,0,0,0,2,1,3,15,30,1,0,0,1,0,0,0,0,0
4,8,15,7,24,0,0,3,0,0,0,0,0,0,20,16,1,0,0,1,0,0,0,0,1
25,8,15,7,24,4,8,11,0,2,2,0,5,3,45,25,1,0,0,1,0,0,0,0,0
25,8,15,9,24,4,6,11,0,1,3,0,5,4,66,8,1,0,0,1,0,0,0,0,1
25,8,15,24,24,4,0,13,0,0,0,4,2,13,66,12,1,0,0,1,0,0,0,0,1
25,8,17,10,24,4,6,13,0,1,3,0,5,4,45,45,1,0,0,1,0,0,0,0,2
25,8,15,17,24,4,4,13,0,1,1,2,5,7,30,30,1,0,0,1,0,0,0,0,2
21,8,19,11,24,3,4,9,0,1,1,1,4,4,66,20,1,0,0,0,0,0,1,0,0
21,8,19,3,24,4,8,10,1,2,2,0,9,1,50,25,1,0,0,0,0,0,1,0,6
23,9,13,17,20,5,3,18,2,1,0,4,5,11,33,11,1,0,0,0,1,0,0,0,0
2,9,16,19,20,3,1,12,0,0,1,2,3,7,34,11,1,0,0,0,1,0,0,0,0
23,9,16,9,20,5,9,18,2,3,0,2,10,9,73,0,1,0,0,0,1,0,0,0,2
1,9,12,7,20,3,6,9,0,2,0,1,5,3,22,8,1,0,0,1,0,0,0,0,1
1,9,15,3,20,3,9,9,0,3,0,0,8,3,61,18,1,0,0,1,0,0,0,0,2
1,9,17,5,20,3,7,9,0,2,1,0,9,2,92,6,1,0,0,1,0,0,0,0,2
29,9,12,17,20,6,4,18,2,1,1,4,5,11,22,11,1,0,0,1,0,0,0,0,3
2,9,16,5,20,3,9,12,0,3,0,0,7,2,42,18,1,0,0,0,1,0,0,0,2
15,9,17,3,20,4,12,12,0,4,0,0,9,3,79,13,1,0,0,1,0,0,0,0,1
15,9,15,18,20,4,1,12,0,0,1,3,3,6,25,30,1,0,0,1,0,0,0,0,1
16,9,13,12,20,4,5,15,0,1,2,1,4,5,22,44,1,0,0,0,1,0,0,0,1
15,9,12,5,20,4,9,12,0,3,0,1,9,4,84,8,1,0,0,1,0,0,0,0,1
15,9,15,4,20,4,10,12,0,3,1,0,11,3,66,11,1,0,0,1,0,0,0,0,3
29,9,15,12,20,6,6,18,2,1,3,2,8,11,37,18,1,0,0,1,0,0,0,0,3
22,9,15,20,20,5,1,15,1,0,1,4,3,10,55,22,1,0,0,1,0,0,0,0,4
30,9,15,19,20,7,2,19,2,0,2,5,4,16,27,0,1,0,0,0,1,0,0,0,1
18,9,19,1,24,7,15,15,3,4,3,0,15,5,27,41,1,0,0,0,0,0,1,0,3
28,9,19,10,24,9,14,18,5,4,2,3,14,14,35,35,1,1,0,0,0,0,0,0,1
15,9,15,6,20,4,7,12,0,2,1,1,6,5,16,24,1,0,0,1,0,0,0,0,4
1,9,15,10,20,3,3,9,0,1,0,2,3,4,30,25,1,0,0,1,0,0,0,0,0
1,9,15,12,20,3,3,9,0,1,0,2,3,5,55,8,1,0,0,1,0,0,0,0,2
19,9,19,4,24,7,14,18,4,4,2,1,9,3,62,14,1,0,0,0,0,0,0,1,2
29,9,15,17,24,9,9,18,5,1,6,2,7,8,24,16,1,0,0,1,0,0,0,0,2
15,9,15,16,24,6,5,14,2,1,2,3,6,8,55,27,1,0,0,1,0,0,0,0,1
8,9,15,3,24,6,14,16,2,4,2,0,14,3,55,37,1,0,0,1,0,0,0,0,1
29,9,15,7,24,9,15,19,5,4,3,2,16,10,41,41,1,0,0,1,0,0,0,0,2
29,9,15,15,24,9,12,19,5,3,3,3,9,12,19,39,1,0,0,1,0,0,0,0,1
18,9,19,24,24,7,3,15,3,0,3,4,5,11,26,33,1,0,0,0,0,0,1,0,1
18,9,19,11,24,7,10,15,3,3,1,3,11,10,27,41,1,0,0,0,0,0,1,0,2
29,9,15,21,24,9,7,19,5,2,1,6,9,16,37,37,1,0,0,1,0,0,0,0,1
18,9,20,20,24,7,6,15,3,1,3,3,9,13,27,41,1,0,0,0,0,0,1,0,1
