Day,Month,Hour,League_Rank,Total_teams,Games_played,Points,Max_points,Min_points,Won,Draw,Lost,Goals_Scored,Goals_Rec,Win_Perc,Draw_Perc,Status,Weekday_Fri,Weekday_Mon,Weekday_Sat,Weekday_Sun,Weekday_Thu,Weekday_Tue,Weekday_Wed,Goals
28,11,11,11,16,9,12,27,2,2,6,1,10,8,50,30,1,0,0,0,0,0,0,1,4
11,11,19,17,22,13,13,27,9,2,7,4,11,16,27,37,1,0,0,0,1,0,0,0,0
10,11,17,15,22,12,13,26,9,3,4,5,11,13,6,52,1,0,0,1,0,0,0,0,0
3,11,19,4,22,12,22,25,9,6,4,2,17,9,69,14,1,0,0,1,0,0,0,0,1
8,12,19,9,20,14,21,28,7,6,3,5,17,16,64,18,1,0,0,1,0,0,0,0,0
2,12,17,2,20,13,25,26,7,7,4,2,35,19,51,37,1,0,0,0,1,0,0,0,2
23,12,16,16,20,16,18,37,8,4,6,6,15,19,39,31,1,0,0,0,1,0,0,0,1
22,12,16,3,20,16,31,34,8,8,7,1,24,12,63,39,1,0,0,1,0,0,0,0,1
15,12,16,12,20,15,20,31,7,5,5,5,13,15,34,42,1,0,0,1,0,0,0,0,2
9,12,19,11,20,14,19,31,7,5,4,5,14,17,30,40,1,0,0,0,1,0,0,0,2
22,12,13,7,20,16,25,34,8,7,4,5,19,18,26,34,1,0,0,1,0,0,0,0,1
15,12,20,14,20,15,19,31,7,5,4,6,19,23,37,55,1,0,0,1,0,0,0,0,1
8,12,15,14,20,14,17,28,7,3,8,3,11,11,20,50,1,0,0,1,0,0,0,0,1
3,12,20,11,20,13,18,28,7,5,3,5,20,21,55,27,1,0,1,0,0,0,0,0,3
1,12,15,14,20,14,17,26,7,4,5,5,10,12,37,37,1,0,0,1,0,0,0,0,2
9,12,11,12,20,14,18,28,7,5,3,6,15,19,51,17,1,0,0,0,1,0,0,0,4
15,12,13,9,20,15,21,31,7,5,6,4,16,12,39,47,1,0,0,1,0,0,0,0,1
9,12,17,11,20,14,19,31,7,5,4,5,17,16,44,22,1,0,0,0,1,0,0,0,1
2,12,11,10,20,14,19,26,7,5,4,5,14,17,50,20,1,0,0,0,1,0,0,0,1
1,12,17,7,20,14,20,26,7,5,5,4,15,11,51,29,1,0,0,1,0,0,0,0,3
23,12,18,19,20,16,10,37,8,2,4,10,15,31,16,31,1,0,0,0,1,0,0,0,2
8,12,17,17,20,14,14,28,7,3,5,6,13,16,18,55,1,0,0,1,0,0,0,0,2
16,12,16,12,20,15,21,31,7,6,3,6,17,20,31,31,1,0,0,0,1,0,0,0,1
14,12,21,4,22,17,32,34,10,10,2,5,21,13,69,7,1,1,0,0,0,0,0,0,1
8,12,12,2,22,16,31,33,10,8,7,1,26,10,55,47,1,0,0,1,0,0,0,0,2
1,12,17,4,22,16,29,33,10,9,2,5,19,12,37,37,1,0,0,1,0,0,0,0,0
23,12,18,5,22,18,33,38,13,10,3,5,21,11,61,25,1,0,0,0,1,0,0,0,1
15,12,20,12,22,17,22,37,10,5,7,5,17,15,52,26,1,0,0,1,0,0,0,0,1
15,12,18,13,22,17,21,37,10,5,6,6,18,20,39,39,1,0,0,1,0,0,0,0,1
1,12,15,21,22,16,11,33,10,2,5,9,17,33,17,42,1,0,0,1,0,0,0,0,1
22,12,20,21,22,19,15,38,13,2,9,8,19,34,35,29,1,0,0,1,0,0,0,0,4
22,12,13,14,22,18,20,37,13,5,5,8,18,20,33,33,1,0,0,1,0,0,0,0,0
4,5,19,7,20,38,58,93,20,17,7,14,49,58,61,30,1,1,0,0,0,0,0,0,1
19,5,19,5,20,38,61,93,20,18,7,13,57,50,49,18,1,0,0,1,0,0,0,0,2
12,5,17,8,20,38,55,93,20,15,10,13,42,33,42,42,1,0,0,1,0,0,0,0,0
12,5,19,3,20,38,76,93,20,22,10,6,94,44,55,13,1,0,0,1,0,0,0,0,6
9,5,20,7,20,38,58,93,20,17,7,14,49,58,55,37,1,0,0,0,0,0,0,1,3
9,5,18,1,20,38,93,93,20,28,9,1,99,29,80,12,1,0,0,0,0,0,0,1,5
