Day,Month,Hour,League_Rank_1,League_Rank_2,Total_teams,Games_played_1,Games_played_2,Points_1,Points_2,Max_points,Min_points,Won_1,Draw_1,Lost_1,Won_2,Draw_2,Lost_2,Goals_Scored_1,Goals_Scored_2,Goals_Rec_1,Goal_Rec_2,Win_Perc_1,Win_Perc_2,Draw_Perc_1,Draw_Perc_2,Avrage_FT_Goal,Average_HT_Goal,Weekday_Fri,Weekday_Mon,Weekday_Sat,Weekday_Sun,Weekday_Tue,Weekday_Wed,Result
11,1,20,9,5,20,19,19,29,32,41,13,7,8,4,9,5,5,21,21,14,16,49,37,30,49,3.16,0.83,1,0,0,0,0,0,Home
19,1,14,5,20,20,20,19,32,13,44,13,9,5,6,3,4,12,27,11,17,26,52,13,33,26,1.83,0.83,0,0,1,0,0,0,Home
18,1,20,11,12,20,20,20,26,26,44,13,7,5,8,8,2,10,24,25,18,30,37,55,25,13,2.83,1.33,1,0,0,0,0,0,Home
11,1,20,18,16,20,18,19,17,20,41,13,4,5,9,6,2,11,22,15,32,25,33,19,13,33,2.66,1.16,1,0,0,0,0,0,Home
11,1,20,14,12,20,19,19,22,23,41,13,6,4,9,6,5,8,17,20,28,18,42,30,25,25,3.16,1.66,1,0,0,0,0,0,Away
26,1,15,12,9,20,22,22,29,33,45,16,9,2,11,9,6,7,26,24,33,21,52,58,24,6,2.5,1.66,0,0,1,0,0,0,Home
11,1,20,2,11,18,17,17,35,19,35,9,10,5,2,5,4,8,24,17,14,17,71,31,31,31,1.66,0.66,1,0,0,0,0,0,Home
28,10,20,5,1,20,10,10,19,30,30,7,6,1,3,10,0,0,22,37,16,6,51,95,44,15,3.66,1.5,0,0,0,1,0,0,Away
27,10,18,2,12,20,10,10,22,11,30,6,7,1,2,2,5,3,19,10,8,13,40,11,20,40,2.33,1.0,0,0,1,0,0,0,Home
21,10,19,14,4,20,9,9,11,16,30,6,3,2,4,5,1,3,7,21,13,16,51,51,34,42,3.33,2.0,0,0,0,1,0,0,Away
28,10,16,8,17,20,10,10,14,11,30,7,4,2,4,3,2,5,13,7,13,14,44,33,22,44,1.5,1.16,0,0,0,1,0,0,Away
27,10,15,10,5,20,10,10,12,17,30,6,3,3,4,5,2,3,12,16,13,12,20,80,40,0,3.0,1.66,0,0,1,0,0,0,Away
21,10,13,5,7,20,9,9,16,14,30,5,4,4,1,4,2,3,12,13,7,11,37,49,61,25,2.83,1.16,0,0,0,1,0,0,Home
27,10,18,9,3,20,10,10,13,19,30,6,3,4,3,5,4,1,10,14,16,7,17,26,26,59,1.66,1.33,0,0,1,0,0,0,Away
20,10,18,14,20,20,9,9,10,5,27,5,2,4,3,1,2,6,10,6,13,18,0,20,20,40,1.33,0.16,0,0,1,0,0,0,Draw
20,10,18,19,8,20,9,9,6,13,27,5,1,3,5,3,4,2,8,10,16,12,8,17,42,42,1.66,0.66,0,0,1,0,0,0,Home
1,10,18,18,16,20,8,8,7,7,21,4,2,1,5,2,1,5,5,7,9,11,0,66,22,0,2.83,1.33,0,1,0,0,0,0,Home
27,10,13,9,2,20,11,11,16,26,28,5,4,4,3,8,2,1,12,19,10,4,84,42,8,26,2.5,1.5,0,0,1,0,0,0,Home
20,10,13,3,4,20,10,10,22,21,27,4,7,1,2,6,3,1,20,16,9,6,68,68,26,8,3.16,1.33,0,0,1,0,0,0,Home
19,10,18,17,7,20,10,10,9,16,24,4,2,3,5,4,4,2,7,10,12,7,55,63,16,16,1.33,0.66,1,0,0,0,0,0,Home
26,10,18,16,20,20,11,11,11,4,27,4,3,2,6,1,1,9,14,3,21,17,42,42,17,8,1.5,0.5,1,0,0,0,0,0,Draw
19,10,18,9,14,20,10,10,16,11,24,4,5,1,4,3,2,5,14,14,14,20,30,30,20,40,2.83,1.16,1,0,0,0,0,0,Home
19,10,18,11,15,20,10,10,13,10,24,4,4,1,5,3,1,6,9,7,9,10,49,25,0,25,2.66,0.66,1,0,0,0,0,0,Away
26,10,18,19,5,20,12,12,8,22,28,5,2,2,8,7,1,4,9,18,20,14,11,11,22,22,1.83,0.66,1,0,0,0,0,0,Away
26,10,18,12,8,20,11,11,13,17,27,4,4,1,6,5,2,4,9,13,11,13,27,37,46,9,3.0,2.0,1,0,0,0,0,0,Away
11,11,20,19,1,20,12,12,7,36,36,7,1,4,7,12,0,0,12,41,18,7,44,66,33,33,4.33,2.16,0,0,0,1,0,0,Away
2,11,19,1,2,20,12,12,36,25,36,7,12,0,0,8,1,3,41,21,7,10,61,25,37,13,3.0,0.5,1,0,0,0,0,0,Home
10,11,16,20,4,20,12,12,7,21,36,7,1,4,7,6,3,3,7,19,24,14,30,70,50,20,4.83,2.0,0,0,1,0,0,0,Away
24,11,16,1,15,20,13,13,39,14,39,7,13,0,0,3,5,5,45,11,7,21,73,27,27,27,2.66,0.66,0,0,1,0,0,0,Home
12,11,19,3,20,20,13,13,27,5,31,5,8,3,2,1,2,10,26,4,14,19,64,37,46,18,2.83,1.5,0,1,0,0,0,0,Home
