Day,Month,Hour,League_Rank_1,League_Rank_2,Total_teams,Games_played_1,Games_played_2,Points_1,Points_2,Max_points,Min_points,Won_1,Draw_1,Lost_1,Won_2,Draw_2,Lost_2,Goals_Scored_1,Goals_Scored_2,Goals_Rec_1,Goal_Rec_2,Win_Perc_1,Win_Perc_2,Draw_Perc_1,Draw_Perc_2,Avrage_FT_Goal,Average_HT_Goal,Weekday_Fri,Weekday_Mon,Weekday_Sat,Weekday_Sun,Weekday_Thu,Weekday_Tue,Weekday_Wed,Result
9,11,20,7,13,20,11,11,17,13,24,6,5,2,4,3,4,4,17,12,16,13,60,60,30,11,2.83,1.33,1,0,0,0,0,0,0,Away
4,11,15,17,7,20,10,10,9,16,21,5,2,3,5,5,1,4,8,16,10,15,59,34,17,17,2.33,0.83,0,0,0,1,0,0,0,Draw
26,11,20,13,15,20,12,12,16,14,26,7,4,4,4,3,5,4,15,22,14,20,61,37,0,25,2.66,0.83,0,1,0,0,0,0,0,Home
4,11,19,13,11,20,10,10,12,13,24,5,3,3,4,3,4,3,5,17,9,13,34,42,51,34,3.16,1.16,0,0,0,1,0,0,0,Draw
23,11,20,3,14,22,14,14,28,15,30,9,8,4,2,3,6,5,22,13,10,13,55,37,27,18,3.0,0.66,1,0,0,0,0,0,0,Away
22,11,19,2,8,16,9,9,24,13,26,2,8,0,1,4,1,4,32,12,7,16,55,14,27,55,2.16,0.83,0,0,0,0,1,0,0,Home
25,11,19,2,16,22,14,14,30,15,30,10,9,3,2,3,6,5,17,17,6,18,75,41,27,35,2.0,1.33,0,0,0,1,0,0,0,Home
28,11,11,11,15,16,9,9,12,6,27,2,2,6,1,2,0,7,10,11,8,20,50,30,30,40,2.16,0.5,0,0,0,0,0,0,1,Home
11,11,19,17,5,22,13,13,13,21,27,9,2,7,4,5,6,2,11,19,16,12,27,9,37,64,2.33,0.83,0,0,0,1,0,0,0,Draw
10,11,17,15,3,22,12,12,13,24,26,9,3,4,5,7,3,2,11,15,13,6,6,52,52,33,2.16,0.83,0,0,1,0,0,0,0,Away
3,11,19,4,3,22,12,12,22,22,25,9,6,4,2,6,4,2,17,18,9,9,69,55,14,41,3.5,1.83,0,0,1,0,0,0,0,Draw
8,12,19,9,1,20,14,14,21,28,28,7,6,3,5,8,4,2,17,37,16,19,64,55,18,46,3.0,0.83,0,0,1,0,0,0,0,Away
2,12,17,2,17,20,13,13,25,14,26,7,7,4,2,3,5,5,35,13,19,14,51,44,37,37,3.66,1.33,0,0,0,1,0,0,0,Home
23,12,16,16,3,20,16,16,18,31,37,8,4,6,6,9,4,3,15,29,19,16,39,71,31,24,2.83,1.16,0,0,0,1,0,0,0,Draw
22,12,16,3,12,20,16,16,31,21,34,8,8,7,1,6,3,7,24,18,12,23,63,39,39,24,1.5,0.5,0,0,1,0,0,0,0,Home
15,12,16,12,3,20,15,15,20,28,31,7,5,5,5,7,7,1,13,21,15,10,34,42,42,51,3.16,1.33,0,0,1,0,0,0,0,Away
9,12,19,11,19,20,14,14,19,10,31,7,5,4,5,2,4,8,14,15,17,28,30,0,40,30,3.33,1.5,0,0,0,1,0,0,0,Home
22,12,13,7,13,20,16,16,25,20,34,8,7,4,5,5,5,6,19,20,18,24,26,34,34,42,3.16,1.5,0,0,1,0,0,0,0,Draw
15,12,20,14,15,20,15,15,19,18,31,7,5,4,6,3,9,3,19,12,23,12,37,37,55,27,2.33,1.0,0,0,1,0,0,0,0,Draw
8,12,15,14,2,20,14,14,17,27,28,7,3,8,3,8,3,3,11,26,11,15,20,60,50,20,2.16,0.5,0,0,1,0,0,0,0,Draw
3,12,20,11,18,20,13,13,18,11,28,7,5,3,5,1,8,4,20,14,21,20,55,18,27,46,3.0,1.0,0,1,0,0,0,0,0,Home
1,12,15,14,16,20,14,14,17,16,26,7,4,5,5,4,4,6,10,12,12,17,37,49,37,13,2.16,1.16,0,0,1,0,0,0,0,Away
9,12,11,12,7,20,14,14,18,21,28,7,5,3,6,6,3,5,15,23,19,21,51,34,17,34,3.66,1.16,0,0,0,1,0,0,0,Draw
15,12,13,9,13,20,15,15,21,19,31,7,5,6,4,5,4,6,16,18,12,18,39,31,47,24,2.5,0.83,0,0,1,0,0,0,0,Home
9,12,17,11,15,20,14,14,19,17,31,7,5,4,5,4,5,5,17,11,16,14,44,44,22,33,3.33,1.83,0,0,0,1,0,0,0,Away
2,12,11,10,9,20,14,14,19,19,26,7,5,4,5,5,4,5,14,17,17,16,50,30,20,40,3.0,1.66,0,0,0,1,0,0,0,Home
1,12,17,7,6,20,14,14,20,21,26,7,5,5,4,6,3,5,15,17,11,16,51,44,29,44,2.16,0.83,0,0,1,0,0,0,0,Home
