Day,Month,Hour,League_Rank_1,League_Rank_2,Total_teams,Games_played_1,Games_played_2,Points_1,Points_2,Max_points,Min_points,Won_1,Draw_1,Lost_1,Won_2,Draw_2,Lost_2,Goals_Scored_1,Goals_Scored_2,Goals_Rec_1,Goal_Rec_2,Win_Perc_1,Win_Perc_2,Draw_Perc_1,Draw_Perc_2,Avrage_FT_Goal,Average_HT_Goal,Weekday_Fri,Weekday_Mon,Weekday_Sat,Weekday_Sun,Weekday_Tue,Weekday_Wed,Result
29,10,18,18,11,20,12,12,12,17,26,8,3,3,6,4,5,3,14,18,18,16,25,13,25,61,2.66,1.33,0,1,0,0,0,0,Away
26,10,17,11,1,18,15,15,18,36,36,9,3,9,3,11,3,1,18,31,18,12,42,68,61,37,3.16,1.0,1,0,0,0,0,0,Away
16,10,17,7,11,20,10,10,16,14,22,8,5,1,4,4,2,4,12,13,10,18,59,17,26,51,2.5,0.83,0,0,0,0,1,0,Away
10,11,17,1,3,18,10,10,24,20,24,5,7,3,0,6,2,2,30,18,10,11,73,73,9,0,6.0,2.83,0,0,1,0,0,0,Home
25,11,17,3,16,18,11,11,23,9,30,8,7,2,2,2,3,6,26,14,13,22,69,27,27,0,2.33,0.5,0,0,0,1,0,0,Home
24,11,14,9,1,18,11,11,15,27,27,8,4,3,4,8,3,0,10,33,12,12,22,66,33,22,2.33,1.16,0,0,1,0,0,0,Away
11,11,17,6,14,18,10,10,17,10,27,8,5,2,3,3,1,6,23,8,13,12,44,44,11,22,1.33,0.66,0,0,0,1,0,0,Home
9,11,19,16,11,18,10,10,6,12,24,5,1,3,6,3,3,4,12,14,21,15,27,27,14,27,2.0,0.5,1,0,0,0,0,0,Home
24,11,17,14,15,18,11,11,10,10,27,8,3,1,7,2,4,5,8,11,15,24,61,13,13,49,3.16,1.5,0,0,1,0,0,0,Home
10,11,14,6,2,18,10,10,17,20,24,5,5,2,3,6,2,2,18,23,16,12,94,63,16,47,4.16,2.0,0,0,1,0,0,0,Away
24,11,14,11,2,18,12,12,13,23,28,8,3,4,5,7,2,3,19,27,19,13,17,34,42,26,2.33,1.0,0,0,1,0,0,0,Away
24,11,14,8,6,18,12,12,16,22,28,8,4,4,4,7,1,4,17,26,19,16,37,73,37,13,2.16,1.33,0,0,1,0,0,0,Draw
4,11,17,15,6,18,9,9,9,17,24,5,2,3,4,5,2,2,5,17,10,14,33,55,33,44,3.0,2.0,0,0,0,1,0,0,Home
3,11,14,12,6,18,10,10,11,16,24,5,3,2,5,5,1,4,16,21,20,14,55,44,22,11,3.0,1.0,0,0,1,0,0,0,Away
